task_id,occupation,onet_soc_code,task,desire_2025,capacity_2025,zone_2025,has_worker_2025,has_expert_2025,sam_capability_2026,sam_has_2026,sam_notes
22417,Librarians and Media Collections Specialists,25-4022.00,"Respond to customer complaints, taking action as necessary.",3.75,4.5,Green Light,3.25,2.0,3,3,Complaint handling is interpersonal and policy-sensitive; cap at supervised partnership.
23272,"Court, Municipal, and License Clerks",43-4031.00,Record and maintain all vital and fiscal records and accounts.,3.2,4.0,Green Light,2.8,2.0,3,3,"Vital/fiscal records are official/legal records; automate drafting/checks, require human custody/review."
23290,"Court, Municipal, and License Clerks",43-4031.00,Instruct parties about timing of court appearances.,4.333,4.5,Green Light,1.333,1.5,3,3,Court-appearance instructions are legal/procedural and interpersonal; cap at supervised partnership.
1783,Editors,27-3041.00,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",2.333,2.0,Low Priority,3.667,3.667,3,4,Production oversight requires deadline/budget tradeoffs and stakeholder coordination; agent assists.
2795,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,Complete forms in accordance with company procedures.,2.5,2.0,Low Priority,2.0,3.333,5,1,Procedure-bound form completion is fully automatable when inputs and policies are available.
2806,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,"Provide services to customers, such as order placement or account information.",2.6,2.667,Low Priority,4.0,2.0,4,2,"Transactional order/account service can be agent-led; escalate identity, exception, complaint cases."
3971,Technical Writers,27-3042.00,"Select photographs, drawings, sketches, diagrams, and charts to illustrate material.",2.5,2.667,Low Priority,3.0,3.333,4,2,Multimodal selection is strong; human reviews brand/taste/rights-sensitive picks.
7371,Mathematicians,15-2021.00,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,2.889,2.5,Low Priority,3.222,4.0,3,4,Novel modeling is research/design work; agent helps but expert leads and validates assumptions.
11238,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,"Quote prices, credit terms, or other bid specifications.",2.5,2.0,Low Priority,3.6,2.0,4,2,Policy-bound pricing/terms quoting is agent-led; human handles negotiated or regulated exceptions.
15889,Logistics Analysts,13-1081.02,"Communicate with or monitor service providers, such as ocean carriers, air freight forwarders, global consolidators, customs brokers, or trucking companies.",2.333,2.0,Low Priority,3.5,4.0,4,2,Provider comms/status monitoring can be automated; humans handle disruptions and relationships.
16217,Video Game Designers,15-1255.01,"Create core game features, including storylines, role-play mechanics, and character biographies for a new video game or game franchise.",2.857,2.0,Low Priority,2.857,4.75,3,4,Game-franchise core design is creative direction; agent can draft variants but human taste owns it.
16973,Quality Control Analysts,19-4099.01,Investigate or report questionable test results.,2.5,2.5,Low Priority,2.167,4.0,3,3,QC anomalies require domain investigation and potential safety/compliance judgment.
18943,Credit Counselors,13-2071.00,"Prioritize client debt repayment to avoid dire consequences, such as bankruptcy or foreclosure or to reduce overall costs, such as by paying high-interest or short-term loans first.",2.667,2.5,Low Priority,1.333,3.5,3,3,Debt-prioritization advice is fiduciary/financial-safety sensitive; cap at supervised partnership.
1323,Network and Computer Systems Administrators,15-1244.00,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",3.333,2.667,R&D Opportunity,3.333,3.333,4,2,Network recommendations can be agent-led with telemetry/docs; human approves production changes.
3589,Petroleum Engineers,17-2171.00,"Evaluate findings to develop, design, or test equipment or processes.",4.0,2.0,R&D Opportunity,3.667,4.0,2,4,Engineering equipment/process testing has physical-world validation; hard physical cap = 2.
7368,Mathematicians,15-2021.00,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,3.429,2.0,R&D Opportunity,3.286,5.0,3,4,"Developing new computational methods is research; expert leads, agent assists/prototypes."
14683,Computer Systems Engineers/Architects,15-1299.08,Design and conduct hardware or software tests.,3.6,2.5,R&D Opportunity,3.0,4.0,2,4,Hardware testing includes physical systems; hard physical cap = 2 despite software-test automation.
15612,Clinical Research Coordinators,11-9121.01,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",3.1,1.5,R&D Opportunity,2.6,2.0,4,2,Clinical scheduling is workflow automatable under protocol constraints; staff handle consent/edge cases.
15897,Logistics Analysts,13-1081.02,"Monitor inventory transactions at warehouse facilities to assess receiving, storage, shipping, or inventory integrity.",3.0,1.5,R&D Opportunity,4.0,4.5,4,2,Warehouse transaction monitoring is digital; human handles physical discrepancy investigations.
16143,Business Intelligence Analysts,15-2051.01,"Disseminate information regarding tools, reports, or metadata enhancements.",3.75,2.5,R&D Opportunity,1.75,4.0,4,2,Metadata/report dissemination is reliable agent work with human exception review.
18101,Health Informatics Specialists,15-1211.01,"Identify, collect, record, or analyze data relevant to the nursing care of patients.",3.167,2.5,R&D Opportunity,3.0,4.0,3,3,Patient-care data collection/analysis is healthcare safety-critical; cap at supervised review.
18911,Fundraisers,13-1131.00,"Develop or implement fundraising activities, such as annual giving campaigns or direct mail programs.",3.167,2.333,R&D Opportunity,3.333,3.0,4,2,Campaign planning/direct mail can be agent-led; human owns donor relationship strategy.
20735,Mechanical Engineers,17-2141.00,"Develop or test models of alternate designs or processing methods to assess feasibility, sustainability, operating condition effects, potential new applications, or necessity of modification.",3.5,2.667,R&D Opportunity,3.375,3.333,2,4,Mechanical design/testing depends on physical-world validation; hard physical cap = 2.
22532,Producers and Directors,27-2012.00,"Perform management activities, such as budgeting, scheduling, planning, and marketing.",3.375,2.333,R&D Opportunity,3.75,3.667,3,3,Budgeting/scheduling/planning across production stakeholders requires human management judgment.
102,Training and Development Specialists,13-1151.00,Develop alternative training methods if expected improvements are not seen.,2.667,3.0,Red Light,3.667,2.333,3,3,"Training-method changes depend on learner outcomes and context; agent drafts, human validates."
2579,Customer Service Representatives,43-4051.00,"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",2.7,4.0,Red Light,3.2,1.5,4,2,"Policy-bound billing/refund complaints can be agent-led; escalate conflict, fraud, high-value cases."
3480,Computer Systems Analysts,15-1211.00,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",2.7,4.5,Red Light,2.7,1.5,4,2,"Reading technical materials to inform systems work is reliable, but requirements ambiguity prevents 5."
5503,Geographers,19-3092.00,"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.",2.8,4.0,Red Light,3.0,2.667,4,2,GIS map/diagram creation is strong with data; human reviews cartographic purpose and correctness.
5506,Geographers,19-3092.00,Locate and obtain existing geographic information databases.,2.5,3.0,Red Light,2.5,3.0,5,1,Finding existing geospatial databases is search/retrieval; fully automatable with access/tools.
7282,Management Analysts,13-1111.00,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",2.8,4.0,Red Light,2.8,2.5,3,3,"Org-change recommendations are high-context management consulting; agent drafts, humans decide."
8861,Treasurers and Controllers,11-3031.01,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",2.6,3.5,Red Light,2.8,3.0,3,3,Disbursement authorization is fiduciary/control-sensitive; cap at supervised partnership.
9350,Photographers,27-4021.00,Review sets of photographs to select the best work.,2.1,3.0,Red Light,2.8,3.5,4,3,"Image curation is strong, but aesthetic/client intent keeps human materially involved."
11237,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,"Answer customers' questions about products, prices, availability, or credit terms.",2.1,4.5,Red Light,3.2,1.5,4,2,Routine product/price/availability answers can be agent-led; escalate negotiation/edge cases.
15885,Logistics Analysts,13-1081.02,Determine packaging requirements.,2.333,4.0,Red Light,2.333,2.0,4,2,Packaging requirements can be determined from product/regulatory data; human handles novel hazards.
20184,Personal Financial Advisors,13-2052.00,"Manage client portfolios, keeping client plans up-to-date.",2.8,4.5,Red Light,3.1,2.0,3,3,Portfolio management is regulated fiduciary advice; cap at supervised partnership.
20619,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,Verify accuracy of materials lists.,2.6,3.0,Red Light,3.1,2.0,5,1,Materials-list verification against specs/BOMs is deterministic and fully automatable when digital.
